model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	raw	raw_label	200	4.0	1.2222340996035292	140.0	2.0	0.0	0.25	0.0399825978500594	0.03246178744624962	0.24004570333620615	0.26587937610102536	0.9028368685692896	4.949763801714633	5.272551777718926	0.9387795531248551	0.725	0.7	0.0052954301799727965	0.015708326988753667	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	198	3.0	1.1529706704117353	140.0	22.0	0.0	0.0	0.061531342867800126	0.041096895993728136	0.24004350267285224	0.26433718952859114	0.9080958419091035	4.949719454794086	5.25673309936334	0.9415961132577878	0.7373737373737373	0.7171717171717171	-0.03160299494251905	0.0055128212309715026	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	raw	raw_label	171	7.0	2.005959814418014	82.0	1.0	0.2857142857142857	0.2857142857142857	-0.0363703498673894	-0.01997489811904501	0.2252510719538347	0.30488569972524454	0.738804975624719	5.764110056427802	6.767928979866375	0.8516800447485794	0.7251461988304093	0.7076023391812866	0.2702411259938213	0.4011878359152329	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-exclude	conditioned_exclude_label	78	4.0	1.5571643471379213	40.0	1.0	0.25	0.25	0.14926370578327408	0.04775150129447184	0.2212573929405347	0.32569728861534214	0.6793344638550125	5.903366401341778	6.937036381252495	0.8509925675603728	0.8846153846153846	0.8589743589743589	0.29328696348892785	0.4560683816279146	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-cat-only	cat_only_label	58	3.0	0.9896363038042916	40.0	1.0	0.3333333333333333	0.3333333333333333	0.3552051665104146	0.14332456605166205	0.21872364801264502	0.3843063960707556	0.5691387139244366	5.902941074749472	7.487586063044346	0.7883637029407873	0.9827586206896551	0.9655172413793104	0.6259382756501273	0.7196567318568624	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	raw	raw_label	200	10.0	2.1208109300257063	92.0	1.0	0.2	0.3	-0.19956755984036456	-0.11577875656112163	0.21160370563875255	0.26900572283486324	0.7866141411744295	5.336990579971102	6.2693788575267195	0.8512790024746653	0.48	0.475	0.14200934455882672	0.303882832070932	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-exclude	conditioned_exclude_label	76	2.0	0.7424875695421236	60.0	16.0	0.0	0.0	0.2118181644246393	0.12324981126028535	0.21673464133011658	0.2851670211387181	0.7600270201815765	5.7161290481747855	6.544536404043205	0.8734200094972914	0.9078947368421053	0.9078947368421053	-0.01960472873318055	0.17458560403798593	0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-cat-only	cat_only_label	16	1.0	-0.0	16.0	16.0	0.0	0.0													0.0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	raw	raw_label	199	28.0	3.9567734612441186	26.0	1.0	0.42857142857142855	0.4642857142857143	-0.305984483827733	-0.18937886849364527	0.28334919190377345	0.32171271494446774	0.8807522324776116	6.132154105526553	6.536182595659116	0.9381858624327767	0.2964824120603015	0.3065326633165829	0.12909214221641435	0.22925539911335896	0.0
