model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		conditioned-exclude	conditioned_exclude_label	198	3	1.1529706704117353	140	22	0.0	0.0	-0.05985973656875866	-0.028269435822864574	0.9995892994377987	1.0064436271135997	0.9931895562839832	19.32635253348464	19.49997334854184	0.9910963562896263	0.4494949494949495	0.45454545454545453	0.009727631655182357	0.047107434545454574	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		form	form_label	200	2	1.0	100	100	0.0	0.0	0.8011511130212433	0.5554632873166887	0.3300856769875044	1.6686909630409723	0.19781114915728085	11.908509506291162	26.808250167199073	0.4442106229246429	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		raw	raw_label	200	4	1.2222340996035292	140	2	0.0	0.25	-0.27409776464688235	-0.15726949581876895	0.9995233650011777	1.006425263267463	0.9931421651282106	19.325517518946754	19.475812658314272	0.9922829849514209	0.445	0.39	0.10336409619139285	0.12931569013024594	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		conditioned-exclude	conditioned_exclude_label	78	4	1.5571643471379213	40	1	0.25	0.25	0.22051719436235273	0.12157883656941468	0.47947107608266804	1.1996115804567957	0.3996886024558816	16.867441704127774	27.080103351957245	0.6228721317974092	0.7307692307692307	0.7307692307692307	0.331281939987702	0.47848161767095165	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		form	form_label	171	2	0.9999753308152249	86	85	0.0	0.0	0.7495978017557013	0.5013053160090758	0.3927447106821507	1.5758539767415343	0.2492265885537485	16.41356902067627	32.9216821155753	0.4985641062645151	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		raw	raw_label	171	7	2.005959814418014	82	1	0.2857142857142857	0.2857142857142857	-0.3598299788427295	-0.19332325203275852	0.8051893027773911	1.0697075034143304	0.752719131358207	22.19557298612831	25.847175765819948	0.8587233354709306	0.5906432748538012	0.3508771929824561	0.24192714030565396	0.3797080323808966	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		conditioned-exclude	conditioned_exclude_label	76	2	0.7424875695421236	60	16	0.0	0.0	-0.012910642737095556	0.022210138238765137	0.9638155619903699	0.9367277535238486	1.0289174825498875	23.4380983504111	23.64868248611662	0.9910953121456493	0.5657894736842105	0.5657894736842105	-0.01960472873318055	0.17458560403798593	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		form	form_label	200	2	1.0	100	100	0.0	0.0	0.7838548631160124	0.536082603321584	0.34914922572231416	1.6265028485822164	0.21466253565227947	15.214719403214298	32.805055826437055	0.46379190706796497	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		raw	raw_label	200	10	2.1208109300257063	92	1	0.2	0.3	-0.49570417206348194	-0.3039909823784805	0.8846418765736263	1.0390266276789137	0.8514140571640899	22.37019891644625	24.813637878011928	0.9015283863825997	0.445	0.195	0.1403978889996999	0.2832038346238756	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		conditioned-exclude	conditioned_exclude_label	100	6	2.477667024828463	23	5	0.0	0.0	-0.33256729430152304	-0.19252315896901911	0.8329011397044783	1.0009926880204818	0.8320751486722507	22.78665129883698	25.475073977259623	0.894468503572454	0.26	0.25	0.13039799367456903	0.20159773525827407	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		form	form_label	199	2	0.9999817845368457	100	99	0.0	0.0	0.7919434930101509	0.5448260632064692	0.342312707198282	1.653712034407258	0.20699656293000102	15.905814739965809	34.95302218254295	0.4550626454244022	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		raw	raw_label	199	28	3.9567734612441186	26	1	0.42857142857142855	0.4642857142857143	-0.5966117955469404	-0.35127253092719946	0.923430744075761	1.007901750784215	0.9161912293110615	24.157146649696255	25.5890611862769	0.9440419276753864	0.22110552763819097	0.1507537688442211	0.08615176385973496	0.17472785291792078	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		conditioned-exclude	conditioned_exclude_label	80	3	0.9403047812186183	61	3	0.0	0.0	-0.3461916901374046	-0.20334881121925008	0.958456659775127	1.0134699400361762	0.9457178964192213	15.828231632502986	16.14006435794871	0.9806795859960651	0.2375	0.2375	-0.03785586810406977	0.17860356016710582	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		form	form_label	193	2	0.999515806980105	99	94	0.0	0.0	0.7821155332614446	0.53021998808611	0.3542771818590854	1.6311337155933254	0.21719689714721946	10.1697193267826	21.657748627486452	0.4695649350124937	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		raw	raw_label	193	4	1.877444466874	67	19	0.0	0.0	-0.09550557823361154	-0.05587851490077357	0.8388719454260459	1.0575192704439056	0.7932450678406266	14.491078566391403	16.5121204066804	0.8776025252655418	0.5025906735751295	0.47150259067357514	0.0757372474528395	0.10667871996962905	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		conditioned-exclude	conditioned_exclude_label	131	3	1.262392868407983	85	16	0.0	0.0	-0.06671827878071585	-0.02277245744707944	0.9959528301964672	1.0078863587836442	0.9881598471065937	14.980219812277003	15.319820706931004	0.9778325803447322	0.42748091603053434	0.44274809160305345	0.024420323753155105	0.08408616744128346	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		form	form_label	199	2	0.9999817845368457	100	99	0.0	0.0	0.7586779208171541	0.5038316378201458	0.3870250833859085	1.6100001488894202	0.240388228319655	9.99688958872374	20.175745683337823	0.4954904639276698	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	delta	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		raw	raw_label	199	15	2.8386901946024508	85	1	0.13333333333333333	0.13333333333333333	-0.5748642620781781	-0.34191018437842763	0.987833634787057	1.0055770284166816	0.9823550129644845	14.885079447806339	15.177727749783754	0.9807185695512568	0.12562814070351758	0.09045226130653267	0.043055639028965406	0.12569834075577135	0
