model	embed_type	layer	lemma	msps	system_id	semantic_label	form_1	form_2	cond_type	n_tokens	k2_sil
answerdotai_ModernBERT-base	orig	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	nan
answerdotai_ModernBERT-base	delta	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.6666666865348816
answerdotai_ModernBERT-base	orig	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.26927247643470764
answerdotai_ModernBERT-base	delta	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.3339422047138214
answerdotai_ModernBERT-base	orig	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.28939899802207947
answerdotai_ModernBERT-base	delta	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.18069083988666534
answerdotai_ModernBERT-base	orig	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.2104300707578659
answerdotai_ModernBERT-base	delta	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.11918523162603378
answerdotai_ModernBERT-base	orig	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.17393124103546143
answerdotai_ModernBERT-base	delta	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.08968717604875565
answerdotai_ModernBERT-base	orig	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.17845295369625092
answerdotai_ModernBERT-base	delta	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.04526614770293236
answerdotai_ModernBERT-base	orig	6	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.15169189870357513
answerdotai_ModernBERT-base	delta	6	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.01745584048330784
answerdotai_ModernBERT-base	orig	7	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.16933326423168182
answerdotai_ModernBERT-base	delta	7	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.043761417269706726
answerdotai_ModernBERT-base	orig	8	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.17866551876068115
answerdotai_ModernBERT-base	delta	8	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.01900879293680191
answerdotai_ModernBERT-base	orig	9	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.1773204356431961
answerdotai_ModernBERT-base	delta	9	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.03180178254842758
answerdotai_ModernBERT-base	orig	10	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.16591106355190277
answerdotai_ModernBERT-base	delta	10	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.02109163999557495
answerdotai_ModernBERT-base	orig	11	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	3	0.1661853790283203
