model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	raw	raw_label	200	4.0	1.2222340996035292	140.0	2.0	0.0	0.25	-0.3915672302246094	-0.2911430299282074	0.21442625157287473	0.21276897868861136	1.0077890719524898	8.92711272423034	8.837895241161776	1.0100948789993618	0.39	0.39	0.037196198384091106	0.052131105982915815	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	198	3.0	1.1529706704117353	140.0	22.0	0.0	0.0	-0.07176276296377182	-0.05994046479463577	0.21444649765460194	0.21305251816418055	1.0065428914074002	8.92795562029751	8.849203587585352	1.0088993356218676	0.45454545454545453	0.45454545454545453	-0.0025909424775188918	0.028212929546886294	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	raw	raw_label	171	7.0	2.005959814418014	82.0	1.0	0.2857142857142857	0.2857142857142857	-0.596260130405426	-0.495798796415329	0.12418217618492426	0.1856092631080124	0.6690516093081971	6.569207618065607	8.906369649387928	0.7375853323713173	0.21052631578947367	0.21052631578947367	0.07353842734172496	0.15603204450932245	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-exclude	conditioned_exclude_label	78	4.0	1.5571643471379213	40.0	1.0	0.25	0.25	0.11895143985748291	0.07973510026931763	0.0539192586975546	0.21518073247870334	0.2505766110025257	4.444694965972867	10.03853209296579	0.4427634364079344	0.6666666666666666	0.6666666666666666	0.3116275655210748	0.39600647449857246	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-cat-only	cat_only_label	58	3.0	0.9896363038042916	40.0	1.0	0.3333333333333333	0.3333333333333333	0.5158833265304565	0.4564388394355774	0.03037655900138955	0.29680008157137455	0.10234686877633013	3.666996755667675	12.997234378874772	0.2821366952978763	0.896551724137931	0.896551724137931	0.5418287648858136	0.6901817910126417	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	raw	raw_label	200	10.0	2.1208109300257063	92.0	1.0	0.2	0.3	-0.753254234790802	-0.5985317230224609	0.3951838589046058	0.49891817180742165	0.7920815100259437	10.554523351922137	12.870097702744829	0.8200810588773662	0.06	0.06	0.03208274322014998	0.0794706326606227	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-exclude	conditioned_exclude_label	76	2.0	0.7424875695421236	60.0	16.0	0.0	0.0	-0.06155736744403839	-0.018563158810138702	0.43786022316211115	0.4145620306953788	1.0561995328603837	11.669936236460883	11.4193732956663	1.0219419169780246	0.5657894736842105	0.5657894736842105	-0.01960472873318055	0.17458560403798593	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-cat-only	cat_only_label	16	1.0	-0.0	16.0	16.0	0.0	0.0													0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	raw	raw_label	199	28.0	3.9567734612441186	26.0	1.0	0.42857142857142855	0.4642857142857143	-0.903117299079895	-0.8550766706466675	0.2195898234379152	0.24195349456021775	0.9075703735424385	9.493543534829675	10.140061345823693	0.9362412327751554	0.0	0.0	0.005525372230058743	0.01345401790152006	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	conditioned-exclude	conditioned_exclude_label	100	6.0	2.477667024828463	23.0	5.0	0.0	0.0	-0.437530517578125	-0.3300577402114868	0.19730810369301705	0.24122322866380713	0.8179481917473437	8.865333522962905	10.104536789433878	0.877361694821401	0.25	0.25	0.030520159455705242	0.056597665013153664	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	conditioned-cat-only	cat_only_label	25	2.0	0.7219280948873623	20.0	5.0	0.0	0.0	0.912132203578949	0.7530858516693115	0.044171905517578124	0.4417586475610733	0.09999103755285592	4.410310322599532	16.081923141479493	0.27424023133304165	1.0	1.0	1.0	1.0	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	raw	raw_label	193	4.0	1.877444466874	67.0	19.0	0.0	0.0	-0.15099747478961945	-0.11458400636911392	0.37760002502423595	0.5198328398938333	0.7263874000368158	9.836174871616466	12.528058406983698	0.7851316263127688	0.40414507772020725	0.37305699481865284	0.09797101279588133	0.10060259255196753	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	conditioned-exclude	conditioned_exclude_label	80	3.0	0.9403047812186183	61.0	3.0	0.0	0.0	-0.4865523874759674	-0.38731011748313904	0.4554463750694693	0.4857507540158427	0.9376133156853832	11.253557994690182	11.900301384299919	0.9456531924088085	0.2375	0.2375	-0.03703113868789763	0.1574585230395254	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	conditioned-cat-only	cat_only_label	19	2.0	0.6292492238560345	16.0	3.0	0.0	0.0	0.9574487805366516	0.814831018447876	0.04228392752205453	0.8987435773015022	0.047047821636748685	3.933276292915231	19.587353388468426	0.20080692959932253	1.0	1.0	1.0	1.0	0.0
