model	embed_type	layer	lemma	msps	system_id	semantic_label	form_1	form_2	cond_type	n_tokens	k2_sil
kanishka_GlossBERT	orig	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.4617210328578949
kanishka_GlossBERT	delta	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	nan
kanishka_GlossBERT	orig	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.11299178749322891
kanishka_GlossBERT	delta	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.17140446603298187
kanishka_GlossBERT	orig	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.12408886104822159
kanishka_GlossBERT	delta	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.12801556289196014
kanishka_GlossBERT	orig	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.11368658393621445
kanishka_GlossBERT	delta	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.16376206278800964
kanishka_GlossBERT	orig	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13851352035999298
kanishka_GlossBERT	delta	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.11997966468334198
kanishka_GlossBERT	orig	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1356263905763626
kanishka_GlossBERT	delta	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.10580513626337051
