model	embed_type	layer	lemma	msps	system_id	semantic_label	form_1	form_2	cond_type	n_tokens	k2_sil
bert-base-uncased	orig	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.47188225388526917
bert-base-uncased	delta	0	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	nan
bert-base-uncased	orig	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.10718034207820892
bert-base-uncased	delta	1	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.15926289558410645
bert-base-uncased	orig	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1456502228975296
bert-base-uncased	delta	2	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.09780233353376389
bert-base-uncased	orig	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.14152629673480988
bert-base-uncased	delta	3	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1579589545726776
bert-base-uncased	orig	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1479332447052002
bert-base-uncased	delta	4	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13144488632678986
bert-base-uncased	orig	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.14111760258674622
bert-base-uncased	delta	5	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1270030289888382
bert-base-uncased	orig	6	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13865353167057037
bert-base-uncased	delta	6	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.11738055944442749
bert-base-uncased	orig	7	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1699037253856659
bert-base-uncased	delta	7	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13769976794719696
bert-base-uncased	orig	8	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1664234846830368
bert-base-uncased	delta	8	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13188937306404114
bert-base-uncased	orig	9	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.13281166553497314
bert-base-uncased	delta	9	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.12406396865844727
bert-base-uncased	orig	10	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.10342154651880264
bert-base-uncased	delta	10	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.1110309511423111
bert-base-uncased	orig	11	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.09134221076965332
bert-base-uncased	delta	11	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.10456538200378418
bert-base-uncased	orig	12	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.07817958295345306
bert-base-uncased	delta	12	bid	ppt	bid__ppt	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bidden	bid	cat	40	0.09396306425333023
bert-base-uncased	orig	0	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.570427417755127
bert-base-uncased	delta	0	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	nan
bert-base-uncased	orig	1	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.11815916001796722
bert-base-uncased	delta	1	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.3017345666885376
bert-base-uncased	orig	2	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.25177085399627686
bert-base-uncased	delta	2	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.15935850143432617
bert-base-uncased	orig	3	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2448686957359314
bert-base-uncased	delta	3	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.28853586316108704
bert-base-uncased	orig	4	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.281371146440506
bert-base-uncased	delta	4	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2992892563343048
bert-base-uncased	orig	5	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2548329830169678
bert-base-uncased	delta	5	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.26015692949295044
bert-base-uncased	orig	6	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.26889529824256897
bert-base-uncased	delta	6	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2462514489889145
bert-base-uncased	orig	7	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.29761984944343567
bert-base-uncased	delta	7	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2332649976015091
bert-base-uncased	orig	8	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2913419008255005
bert-base-uncased	delta	8	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.23081086575984955
bert-base-uncased	orig	9	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2631680369377136
bert-base-uncased	delta	9	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.22251571714878082
bert-base-uncased	orig	10	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.22898006439208984
bert-base-uncased	delta	10	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.18929991126060486
bert-base-uncased	orig	11	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.2027854323387146
bert-base-uncased	delta	11	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.1584397554397583
bert-base-uncased	orig	12	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.19247758388519287
bert-base-uncased	delta	12	bid	ppt	bid__ppt	"To issue an order to. To tell. ""did as I was bid"""	bidden	bid	prob	25	0.1469430923461914
bert-base-uncased	orig	0	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.8205534815788269
bert-base-uncased	delta	0	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	nan
bert-base-uncased	orig	1	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.1257510483264923
bert-base-uncased	delta	1	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.20592686533927917
bert-base-uncased	orig	2	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.12255100160837173
bert-base-uncased	delta	2	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.10137712955474854
bert-base-uncased	orig	3	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.11462168395519257
bert-base-uncased	delta	3	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.1338001936674118
bert-base-uncased	orig	4	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.15292827785015106
bert-base-uncased	delta	4	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.07839123159646988
bert-base-uncased	orig	5	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.1849604994058609
bert-base-uncased	delta	5	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.11574169248342514
bert-base-uncased	orig	6	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.18821145594120026
bert-base-uncased	delta	6	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.09517336636781693
bert-base-uncased	orig	7	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.15356293320655823
bert-base-uncased	delta	7	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.16326820850372314
bert-base-uncased	orig	8	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.11001614481210709
bert-base-uncased	delta	8	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.1597099006175995
bert-base-uncased	orig	9	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.08003927767276764
bert-base-uncased	delta	9	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.07528361678123474
bert-base-uncased	orig	10	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.07080115377902985
bert-base-uncased	delta	10	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.0626663863658905
bert-base-uncased	orig	11	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.07284577190876007
bert-base-uncased	delta	11	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.07472316920757294
bert-base-uncased	orig	12	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.08989319950342178
bert-base-uncased	delta	12	bid	ppt	bid__ppt	"To give expression to. ""bade a tearful farewell"""	bidden	bid	no_cond	10	0.060743849724531174
bert-base-uncased	orig	0	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.12579575181007385
bert-base-uncased	delta	0	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	nan
bert-base-uncased	orig	1	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.1073150560259819
bert-base-uncased	delta	1	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.3510642349720001
bert-base-uncased	orig	2	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.018747156485915184
bert-base-uncased	delta	2	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.41784632205963135
bert-base-uncased	orig	3	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.10847821831703186
bert-base-uncased	delta	3	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.36900684237480164
bert-base-uncased	orig	4	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.10739016532897949
bert-base-uncased	delta	4	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.3126552999019623
bert-base-uncased	orig	5	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.11856488138437271
bert-base-uncased	delta	5	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.30505767464637756
bert-base-uncased	orig	6	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.11853472143411636
bert-base-uncased	delta	6	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.2734673321247101
bert-base-uncased	orig	7	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.10608194023370743
bert-base-uncased	delta	7	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.274162232875824
bert-base-uncased	orig	8	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.10916275531053543
bert-base-uncased	delta	8	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.2537965774536133
bert-base-uncased	orig	9	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.13693825900554657
bert-base-uncased	delta	9	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.17298150062561035
bert-base-uncased	orig	10	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.13225026428699493
bert-base-uncased	delta	10	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.17507927119731903
bert-base-uncased	orig	11	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.12643635272979736
bert-base-uncased	delta	11	bid	pst	bid__pst	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,00"	bid	bade	cat	3	0.17659582197666168
