model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		conditioned-cat-only	cat_only_label	0	0		0	0															0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		conditioned-exclude	conditioned_exclude_label	198	3	1.1529706704117353	140	22	0.0	0.0	0.10817503703525613	0.05817274630226268	0.12932393143592089	0.15313365773499468	0.8445167009575537	17.269674374974215	18.792173703943394	0.9189822660776228	0.797979797979798	0.7878787878787878	-0.02835926303509177	9.469276518276003e-05	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		form	form_label	200	2	1.0	100	100	0.0	0.0	0.37318045515910186	0.2150277974516022	0.10860107743762708	0.1724975031518252	0.6295805762593613	15.827511827955666	20.143261858334252	0.785747211115515	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		raw	raw_label	200	4	1.2222340996035292	140	2	0.0	0.25	0.07414549065778503	0.04052526358664827	0.12932458726959853	0.15366562846918486	0.8415973601769537	17.269717834971033	18.8229624379126	0.9174813949682504	0.79	0.78	0.0891070244519203	0.11002186849796745	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		conditioned-cat-only	cat_only_label	58	3	0.9896363038042916	40	1	0.3333333333333333	0.3333333333333333	0.24383102742976492	0.11776642899442624	0.1686928690423236	0.27024729332909103	0.6242166830396317	21.01552522851201	26.194132058338667	0.8022989722166384	0.9827586206896551	0.9827586206896551	0.5152499503017844	0.6816199015115221	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		conditioned-exclude	conditioned_exclude_label	78	4	1.5571643471379213	40	1	0.25	0.25	0.1470892472897122	0.07320066134216195	0.16853435577413997	0.23802566952077434	0.7080511783181044	20.93420361826127	24.573920965827007	0.8518869922049802	0.8846153846153846	0.8846153846153846	0.3766976485378068	0.4953364963906303	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		form	form_label	171	2	0.9999753308152249	86	85	0.0	0.0	0.3550218129702081	0.20989702399275323	0.16595519876989853	0.25817088807917055	0.6428114339483807	20.338514566423285	25.769078420006732	0.7892604552995097	1.0	1.0	1.0	1.0	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		raw	raw_label	171	7	2.005959814418014	82	1	0.2857142857142857	0.2857142857142857	-0.05850621759974884	-0.025998207393138933	0.16747166707304198	0.23246915731074017	0.7204038118879726	20.399292048620143	24.268313287252884	0.8405731295439897	0.7660818713450293	0.7660818713450293	0.2536675237016129	0.41577768367675755	0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		conditioned-cat-only	cat_only_label	16	1	-0.0	16	16	0.0	0.0													0
answerdotai_ModernBERT-base	head_embed_cache_answerdotai_ModernBERT-base.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		conditioned-exclude	conditioned_exclude_label	76	2	0.7424875695421236	60	16	0.0	0.0	0.20778612148812461	0.13091581167434696	0.164808438223085	0.2121536615503596	0.7768352288558729	20.493513022310076	23.740254967549845	0.8632389605891897	0.9342105263157895	0.9342105263157895	-0.01960472873318055	0.17458560403798593	0
